domain,method,uri,name,action,middleware
,GET|HEAD,admin/categories,admin.categories.index,App\Http\Controllers\Admin\CategoryController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,POST,admin/categories,admin.categories.store,App\Http\Controllers\Admin\CategoryController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/categories/create,admin.categories.create,App\Http\Controllers\Admin\CategoryController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,DELETE,admin/categories/{category},admin.categories.destroy,App\Http\Controllers\Admin\CategoryController@destroy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,PUT,admin/categories/{category},admin.categories.update,App\Http\Controllers\Admin\CategoryController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/categories/{category}/edit,admin.categories.edit,App\Http\Controllers\Admin\CategoryController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/content,admin.settings.content,App\Http\Controllers\Admin\ContentSettingsController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,PUT,admin/content,admin.settings.content.update,App\Http\Controllers\Admin\ContentSettingsController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/cost-calculator,admin.cost-calculator.index,App\Http\Controllers\Admin\CostCalculatorController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/cost-calculator/materials,admin.cost-calculator.materials.store,App\Http\Controllers\Admin\CostCalculatorController@storeMaterial,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,DELETE,admin/cost-calculator/materials/{material},admin.cost-calculator.materials.destroy,App\Http\Controllers\Admin\CostCalculatorController@destroyMaterial,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/cost-calculator/save,admin.cost-calculator.save,App\Http\Controllers\Admin\CostCalculatorController@saveProductCost,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/coupons,admin.coupons.index,App\Http\Controllers\Admin\CouponController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,POST,admin/coupons,admin.coupons.store,App\Http\Controllers\Admin\CouponController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,GET|HEAD,admin/coupons/create,admin.coupons.create,App\Http\Controllers\Admin\CouponController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,DELETE,admin/coupons/{coupon},admin.coupons.destroy,App\Http\Controllers\Admin\CouponController@destroy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,PUT,admin/coupons/{coupon},admin.coupons.update,App\Http\Controllers\Admin\CouponController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,GET|HEAD,admin/coupons/{coupon}/edit,admin.coupons.edit,App\Http\Controllers\Admin\CouponController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,GET|HEAD,admin/customers,admin.customers.index,App\Http\Controllers\Admin\CustomerController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:customers.manage
,GET|HEAD,admin/customers/{user},admin.customers.show,App\Http\Controllers\Admin\CustomerController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:customers.manage
,PATCH,admin/customers/{user}/role,admin.customers.update-role,App\Http\Controllers\Admin\CustomerController@updateRole,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:customers.manage
,GET|HEAD,admin/customers/{user}/statement,admin.customers.statement,App\Http\Controllers\Admin\CustomerController@statement,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:customers.manage
,GET|HEAD,admin/customers/{user}/statement/export,admin.customers.statement.export,App\Http\Controllers\Admin\CustomerController@statementExport,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:customers.manage
,GET|HEAD,admin/customers/{user}/statement/print,admin.customers.statement.print,App\Http\Controllers\Admin\CustomerController@statementPrint,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:customers.manage
,GET|HEAD,admin/dashboard,admin.dashboard,App\Http\Controllers\Admin\DashBoardController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:dashboard.view
,GET|HEAD,admin/deliveries,admin.deliveries.index,App\Http\Controllers\Admin\DeliveryController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:delivery.view
,PATCH,admin/deliveries/{order},admin.deliveries.update,App\Http\Controllers\Admin\DeliveryController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:delivery.manage
,GET|HEAD,admin/growth,admin.growth.index,App\Http\Controllers\Admin\GrowthController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
,POST,admin/growth/campaigns,admin.growth.campaigns.store,App\Http\Controllers\Admin\GrowthController@storeCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/campaigns/create,admin.growth.campaigns.create,App\Http\Controllers\Admin\GrowthController@createCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,DELETE,admin/growth/campaigns/{campaign},admin.growth.campaigns.destroy,App\Http\Controllers\Admin\GrowthController@destroyCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PUT,admin/growth/campaigns/{campaign},admin.growth.campaigns.update,App\Http\Controllers\Admin\GrowthController@updateCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/campaigns/{campaign}/edit,admin.growth.campaigns.edit,App\Http\Controllers\Admin\GrowthController@editCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PATCH,admin/growth/campaigns/{campaign}/toggle,admin.growth.campaigns.toggle,App\Http\Controllers\Admin\GrowthController@toggleCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PATCH,admin/growth/campaigns/{campaign}/toggle-messaging,admin.growth.campaigns.toggle-messaging,App\Http\Controllers\Admin\GrowthController@toggleCampaignMessaging,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/content,admin.growth.content,App\Http\Controllers\Admin\GrowthController@content,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
,PATCH,admin/growth/deliveries/{delivery}/retry,admin.growth.deliveries.retry,App\Http\Controllers\Admin\GrowthController@retryDelivery,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,POST,admin/growth/experiments,admin.growth.experiments.store,App\Http\Controllers\Admin\GrowthController@storeExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/experiments/create,admin.growth.experiments.create,App\Http\Controllers\Admin\GrowthController@createExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,DELETE,admin/growth/experiments/{experiment},admin.growth.experiments.destroy,App\Http\Controllers\Admin\GrowthController@destroyExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PUT,admin/growth/experiments/{experiment},admin.growth.experiments.update,App\Http\Controllers\Admin\GrowthController@updateExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/experiments/{experiment}/edit,admin.growth.experiments.edit,App\Http\Controllers\Admin\GrowthController@editExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PATCH,admin/growth/experiments/{experiment}/toggle,admin.growth.experiments.toggle,App\Http\Controllers\Admin\GrowthController@toggleExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/insights,admin.growth.insights,App\Http\Controllers\Admin\GrowthController@insights,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
,GET|HEAD,admin/growth/operations,admin.growth.operations,App\Http\Controllers\Admin\GrowthController@operations,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
,POST,admin/growth/rules,admin.growth.rules.store,App\Http\Controllers\Admin\GrowthController@storeRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/rules/create,admin.growth.rules.create,App\Http\Controllers\Admin\GrowthController@createRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,DELETE,admin/growth/rules/{rule},admin.growth.rules.destroy,App\Http\Controllers\Admin\GrowthController@destroyRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PUT,admin/growth/rules/{rule},admin.growth.rules.update,App\Http\Controllers\Admin\GrowthController@updateRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/rules/{rule}/edit,admin.growth.rules.edit,App\Http\Controllers\Admin\GrowthController@editRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PATCH,admin/growth/rules/{rule}/toggle,admin.growth.rules.toggle,App\Http\Controllers\Admin\GrowthController@toggleRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,POST,admin/growth/run-now,admin.growth.run-now,App\Http\Controllers\Admin\GrowthController@runNow,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,POST,admin/growth/segments,admin.growth.segments.store,App\Http\Controllers\Admin\GrowthController@storeSegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/segments/create,admin.growth.segments.create,App\Http\Controllers\Admin\GrowthController@createSegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,DELETE,admin/growth/segments/{segment},admin.growth.segments.destroy,App\Http\Controllers\Admin\GrowthController@destroySegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PUT,admin/growth/segments/{segment},admin.growth.segments.update,App\Http\Controllers\Admin\GrowthController@updateSegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/segments/{segment}/edit,admin.growth.segments.edit,App\Http\Controllers\Admin\GrowthController@editSegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PUT,admin/growth/settings,admin.growth.settings.update,App\Http\Controllers\Admin\GrowthController@updateSettings,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,POST,admin/growth/templates,admin.growth.templates.store,App\Http\Controllers\Admin\GrowthController@storeTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/templates/create,admin.growth.templates.create,App\Http\Controllers\Admin\GrowthController@createTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,DELETE,admin/growth/templates/{template},admin.growth.templates.destroy,App\Http\Controllers\Admin\GrowthController@destroyTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,PUT,admin/growth/templates/{template},admin.growth.templates.update,App\Http\Controllers\Admin\GrowthController@updateTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/growth/templates/{template}/edit,admin.growth.templates.edit,App\Http\Controllers\Admin\GrowthController@editTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,DELETE,admin/growth/validation-demo,admin.growth.validation-demo.clear,App\Http\Controllers\Admin\GrowthController@clearValidationDemo,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,POST,admin/growth/validation-demo/seed,admin.growth.validation-demo.seed,App\Http\Controllers\Admin\GrowthController@seedValidationDemo,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
,GET|HEAD,admin/imports,admin.imports.index,App\Http\Controllers\Admin\ImportController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:imports.manage
,POST,admin/imports,admin.imports.store,App\Http\Controllers\Admin\ImportController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:imports.manage
,GET|HEAD,admin/inventory,admin.inventory.index,App\Http\Controllers\Admin\InventoryController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/inventory/adjust,admin.inventory.adjust,App\Http\Controllers\Admin\InventoryController@adjustForm,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/inventory/adjust,admin.inventory.adjust.store,App\Http\Controllers\Admin\InventoryController@adjust,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/inventory/labels/{product},admin.inventory.labels,App\Http\Controllers\Admin\InventoryController@labelPrint,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/inventory/scan,admin.inventory.scan,App\Http\Controllers\Admin\InventoryController@scanForm,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/notifications,admin.notifications.index,App\Http\Controllers\Admin\NotificationController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:notifications.view
,PATCH,admin/notifications/read-all,admin.notifications.read-all,App\Http\Controllers\Admin\NotificationController@markAllRead,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:notifications.view
,PATCH,admin/notifications/{notification}/read,admin.notifications.read,App\Http\Controllers\Admin\NotificationController@markRead,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:notifications.view
,GET|HEAD,admin/orders,admin.orders.index,App\Http\Controllers\Admin\OrderController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
,DELETE,admin/orders/{order},admin.orders.destroy,App\Http\Controllers\Admin\OrderController@destroy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,GET|HEAD,admin/orders/{order},admin.orders.show,App\Http\Controllers\Admin\OrderController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
,PATCH,admin/orders/{order}/quick-status,admin.orders.quick-status,App\Http\Controllers\Admin\OrderController@quickStatus,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,GET|HEAD,admin/orders/{order}/receipt,admin.orders.receipt,App\Http\Controllers\Admin\OrderController@receipt,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
,POST,admin/orders/{order}/refund,admin.orders.refund,App\Http\Controllers\Admin\OrderController@refund,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,PATCH,admin/orders/{order}/status,admin.orders.update-status,App\Http\Controllers\Admin\OrderController@updateStatus,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,GET|HEAD,admin/payments,admin.payments.index,App\Http\Controllers\Admin\PaymentController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.view
,GET|HEAD,admin/payments/{payment},admin.payments.show,App\Http\Controllers\Admin\PaymentController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.view
,PATCH,admin/payments/{payment}/status,admin.payments.update-status,App\Http\Controllers\Admin\PaymentController@updateStatus,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.manage
,GET|HEAD,admin/permissions,admin.permissions.index,App\Http\Controllers\Admin\PermissionController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
,POST,admin/permissions/custom,admin.permissions.custom.store,App\Http\Controllers\Admin\PermissionController@storePermission,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
,POST,admin/permissions/roles,admin.permissions.roles.store,App\Http\Controllers\Admin\PermissionController@storeRole,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
,DELETE,admin/permissions/roles/{role},admin.permissions.roles.destroy,App\Http\Controllers\Admin\PermissionController@destroyRole,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
,PATCH,admin/permissions/roles/{role},admin.permissions.roles.update,App\Http\Controllers\Admin\PermissionController@updateRole,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
,PATCH,admin/permissions/users/{user}/role,admin.permissions.users.role,App\Http\Controllers\Admin\PermissionController@updateUserRole,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
,GET|HEAD,admin/pos,admin.pos.index,App\Http\Controllers\Admin\PosController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,DELETE,admin/pos/carts/{posCart},admin.pos.clear,App\Http\Controllers\Admin\PosController@clear,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/carts/{posCart}/checkout,admin.pos.checkout,App\Http\Controllers\Admin\PosController@checkout,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,DELETE,admin/pos/carts/{posCart}/customer,admin.pos.customer.detach,App\Http\Controllers\Admin\PosController@detachCustomer,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/carts/{posCart}/customers/{user},admin.pos.customer.attach,App\Http\Controllers\Admin\PosController@attachCustomer,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,DELETE,admin/pos/carts/{posCart}/discount,admin.pos.discount.destroy,App\Http\Controllers\Admin\PosController@clearCartDiscount,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,PATCH,admin/pos/carts/{posCart}/discount,admin.pos.discount.update,App\Http\Controllers\Admin\PosController@updateCartDiscount,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage | App\Http\Middleware\PermissionMiddleware:pos.discount
,DELETE,admin/pos/carts/{posCart}/held,admin.pos.held.destroy,App\Http\Controllers\Admin\PosController@discardHeld,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/carts/{posCart}/hold,admin.pos.hold,App\Http\Controllers\Admin\PosController@hold,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,DELETE,admin/pos/carts/{posCart}/items/{posCartItem},admin.pos.items.destroy,App\Http\Controllers\Admin\PosController@removeItem,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
